(Re)Create Webhooks,Webhooks (neu) erstellen,
%1 is too long. The maximum length is %2 characters.,%1 ist zu lang. Die maximale Länge beträgt %2 Zeichen.,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Wenn Sie das TreviPay-Modul nicht mehr verwenden möchten, löschen Sie bitte die erstellten Webhooks, damit TreviPay keine Updates mehr an Ihre Magento-Website sendet. Klicken Sie dazu bitte auf die Schaltfläche <strong>Webhooks löschen</strong>.</p><p>Bitte beachten Sie, dass Webhooks jederzeit durch Klicken auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong> (neu) erstellt werden können.</p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Scheinbar wurde der <strong>API-Schlüssel</strong> kürzlich bearbeitet oder der <strong>Sandbox-Modus</strong> wurde geändert.</p><p>Bitte überprüfen Sie die Einstellungen und klicken Sie auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>, sobald Sie bestätigt haben, dass alles korrekt eingerichtet ist. Magento wird die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder <strong>Sandbox-API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf „Ja“ eingestellt ist) abrufen.</p><p>Wenn keine Webhooks in TreviPay erstellt wurden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden gemäß der aktuellen Konfiguration des TreviPay-Moduls (neu) erstellt. </p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Scheinbar wurde die <strong>Basis-URL der Website</strong> kürzlich bearbeitet.</p><p>Bitte überprüfen Sie die Einstellungen und klicken Sie auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>, sobald Sie sich vergewissert haben, dass alles korrekt eingerichtet ist. Magento wird die in TreviPay erstellten Webhooks entsprechend dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder <strong>Sandbox API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf „Ja“ eingestellt ist) abrufen.</p><p>Wenn keine Webhooks in TreviPay erstellt wurden oder sie erstellt wurden, aber die alte <strong>Basis-URL der Website</strong> verwenden, klicken Sie bitte auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden entsprechend der aktuellen Konfiguration des TreviPay-Moduls neu erstellt.</p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Bitte beachten Sie, dass dies zutreffen kann, wenn Ihre Websites keine separaten TreviPay-Programme erfordern, da es für Webhooks akzeptabel ist, nur auf Ihre Haupt-Website-URL ausgelöst zu werden.</p><p>Wenn Sie mehrere TreviPay-Programme verwenden möchten, überprüfen Sie bitte die Einstellungen und klicken Sie auf die Schaltfläche <strong>Erstellte Webhooks überprüfen</strong>, sobald Sie bestätigt haben, dass alles korrekt eingerichtet ist. Magento wird die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder <strong>Sandbox API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf „Ja“ eingestellt ist) abrufen.</p><p>Wenn keine Webhooks in TreviPay erstellt werden oder sie erstellt werden, aber die alte <strong>Basis-URL</strong> der Website verwenden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden gemäß der aktuellen Konfiguration des TreviPay-Moduls neu erstellt.</p>",
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Bitte überprüfen Sie die Einstellungen und klicken Sie auf die Schaltfläche <strong>Erstellte Webhooks überprüfen</strong>, sobald Sie bestätigen, dass alles korrekt eingerichtet ist. Magento wird die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder <strong>Sandbox API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf „Ja“ eingestellt ist) abrufen.</p><p> Wenn in TreviPay keine Webhooks erstellt wurden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden entsprechend der aktuellen Konfiguration des TreviPay-Moduls neu erstellt.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,"Es wurde keine Kunden-Website-ID angegeben. Die ID muss angegeben werden, um den Website-Bereich zu nutzen.",
Accepted Currency,Akzeptierte Währung,
Accounts Payable Integration,Integration der Kreditorenbuchhaltung,
Active buyers only,Nur aktive Käufer,
Adjustment Fee,Ausgleichsgebühr,
Adjustment Refund,Ausgleichserstattung,
All customers,Alle Kunden,
Already have account?,Sie haben bereits ein Konto?,
"An error occurred with the following message: ""%1"". Please check the exception log for more details.",Es ist ein Fehler mit der folgenden Meldung aufgetreten: „%1“. Bitte sehen Sie sich das Ausnahmeprotokoll für weitere Einzelheiten an.,
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Es ist ein Fehler mit der folgenden Meldung aufgetreten: „%1“. Bitte aktivieren Sie den Debug-Modus, versuchen Sie es erneut und überprüfen Sie das Debug-Protokoll für weitere Einzelheiten.",
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Alle leeren TreviPay-Felder werden ausgefüllt, wenn sich der Magento-Kunde bei der TreviPay-Checkout-App anmeldet oder der TreviPay-Kunden- und TreviPay-Käuferstatus nicht mehr in Bearbeitung ist.",
API Key,API-Schlüssel,
API key does not match your webhooks API key,API-Schlüssel stimmt nicht mit Ihrem Webhooks-API-Schlüssel überein,
API key matching webhooks,"API-Schlüssel, der zu den Webhooks passt",
API URL,API-URL,
