(Re)Create Webhooks,(Re)Crear webhooks,
%1 is too long. The maximum length is %2 characters.,%1 es demasiado largo. La longitud máxima es de %2 caracteres.,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Si planea dejar de utilizar el módulo TreviPay, por favor, elimine los webhooks creados para que TreviPay deje de enviar actualizaciones a su sitio web Magento. Para hacerlo, haga clic en el botón <strong>Borrar webhooks</strong>.</p><p>Tome en cuenta que los webhooks se pueden (re)crear en cualquier momento haciendo clic en el botón <strong>(Re)crear webhooks</strong>.</p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Parece que la <strong>clave API</strong> ha sido editada recientemente o que el estado del <strong>Modo Sandbox</strong> ha sido cambiado.</p><p>Por favor, revise la configuración y una vez que confirme que todo está configurado correctamente, haga clic en el botón <strong>Comprobar webhooks creados</strong>. Magento consultará los webhooks creados en TreviPay de acuerdo con la <strong>clave API</strong> actualmente configurada (o <strong>clave API Sandbox</strong> si el <strong>Modo Sandbox</strong> está configurado en ""Sí"")</p><p>Si no se crearon webhooks en TreviPay, haga clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks serán re(creados) según la configuración actual del módulo de TreviPay.</p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Parece que la <strong>URL base</strong> del sitio web ha sido editada recientemente.</p><p>Por favor, revise los ajustes y una vez que confirme que todo está configurado correctamente, haga clic en el botón <strong>Verificar webhooks creados</strong>. Magento consultará los webhooks creados en TreviPay conforme a la <strong>clave API</strong> actualmente configurada (o <strong>clave API Sandbox</strong> si el <strong>Modo Sandbox</strong> está configurado como ""Sí"")</p><p>Si los webhooks no se han creado en TreviPay o se han creado pero utilizando la antigua <strong>URL base</strong> del sitio web, haga clic en el botón <strong>(Re)Crear Webhooks</strong>. Los webhooks serán re(creados) de acuerdo con la configuración actual del módulo de TreviPay.</p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Por favor, tome en cuenta que esto puede ser correcto si sus sitios web no requieren programas TreviPay separados, ya que está bien que los webhooks se activen solo a la URL de su sitio web principal.</p><p>Si desea utilizar múltiples programas TreviPay, por favor, revise la configuración y haga clic en el botón <strong>Verificar webhooks creados</strong> una vez que haya confirmado que todo está configurado correctamente. Magento consultará los webhooks creados en TreviPay de acuerdo con la <strong>clave API</strong> actualmente configurada (o <strong>clave API Sandbox</strong> si el <strong>Modo Sandbox</strong> está configurado en ""Sí"")</p><p>Si los webhooks no han sido creados en TreviPay o han sido creados pero utilizando la antigua <strong>URL base</strong> del sitio web, haga clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks serán re(creados) de acuerdo con la configuración actual del módulo de TreviPay.</p>",
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Por favor, revise la configuración y una vez que confirme que todo está configurado correctamente, haga clic en el botón <strong>Verificar webhooks creados</strong>. Magento consultará los webhooks creados en TreviPay según la <strong>clave API</strong> actualmente configurada (o <strong>clave API Sandbox</strong> si el <strong>Modo Sandbox</strong> está en ""Sí"")</p><p>Si los webhooks no han sido creados en TreviPay, haz clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks serán re(creados) según la configuración actual del módulo de TreviPay.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,No se especificó un ID del sitio web del cliente. Es necesario especificarlo para usar el ámbito del sitio web.,
Accepted Currency,Divisas aceptadas,
Accounts Payable Integration,Integración con cuentas por pagar,
